CID,Race,State,HHI,Students,coll_mean,kfr_top01_mean,kfr_top20_mean,lpov_nbh_mean,par_rank_mean,proginc_mean
1073,White,Alabama,0.8287716774,51691.0,0.44944882,0.016926251,0.26895681,0.58875078,0.64502317,0.015412285
1075,Asian,Alabama,0.7218878257,1.2857142857142858,,,,,,
1075,Black,Alabama,0.7218878257,459.14285714285717,,0.007082146,0.063461922,0.23796749,0.30387455,
1075,Hispanic,Alabama,0.7218878257,5.071428571428571,,,,,,
1075,Native American,Alabama,0.7218878257,0.25,,,,,,
1075,White,Alabama,0.7218878257,2325.4285714285716,0.26126459,0.005027062,0.17632224,0.17544484,0.4554764,0.034554638
1077,Asian,Alabama,0.7703979376000001,25.0,,0.000204905,0.19116969,0.44684741,0.40312248,
1077,Black,Alabama,0.7703979376000001,1802.9285714285713,0.17981827,0.002144111,0.054957427,0.19034678,0.33473989,-0.000118405
1077,Hispanic,Alabama,0.7703979376000001,35.5,,0.029209213,0.094722562,0.3102034,0.40559611,
1077,Native American,Alabama,0.7703979376000001,7.25,,0.062715605,0.10377295,0.2193353,0.52174485,
1077,White,Alabama,0.7703979376000001,10563.642857142857,0.40988773,0.008104405,0.21073422,0.36612111,0.54415816,0.006780684
1079,Asian,Alabama,0.6194045608666666,2.0,,,,,,
1079,Black,Alabama,0.6194045608666666,1125.5,0.12533034,-0.000155893,0.061518479,0.29541931,0.39353475,0.045371238
1079,Hispanic,Alabama,0.6194045608666666,17.285714285714285,,0.000434461,0.088528864,0.21315889,0.35739565,
1079,Native American,Alabama,0.6194045608666666,914.8333333333334,0.34828982,-0.000285364,0.2021721,0.23489566,0.54907531,0.009672211
1079,White,Alabama,0.6194045608666666,3708.285714285714,0.27726513,0.003696245,0.17025186,0.26334178,0.49115816,0.024881061
1081,Asian,Alabama,0.5895311538333333,238.0,,0.070912667,0.38230872,0.46826479,0.61039764,
1081,Black,Alabama,0.5895311538333333,5115.214285714285,0.24758556,0.002651671,0.056891352,0.20831884,0.33263338,0.014507977
1081,Hispanic,Alabama,0.5895311538333333,81.92857142857143,0.40061963,-0.00060946,0.12328264,0.41978464,0.53262389,
1081,Native American,Alabama,0.5895311538333333,15.083333333333334,,0.098685123,0.16596571,0.313355,0.49298045,
1081,White,Alabama,0.5895311538333333,8806.5,0.47621208,0.014217894,0.24474892,0.42372537,0.63025111,0.018146357
1083,Asian,Alabama,0.7135239996666667,38.357142857142854,,0.038537458,0.27052975,0.35473272,0.704368,
1083,Black,Alabama,0.7135239996666667,1462.857142857143,0.14153299,-0.000141746,0.040997867,0.30628267,0.37861851,0.005257855
1083,Hispanic,Alabama,0.7135239996666667,105.0,,0.002341863,0.13268507,0.4354679,0.40523219,
1083,Native American,Alabama,0.7135239996666667,9.166666666666666,,0.056722138,0.14747243,0.4267281,0.57069266,
1083,White,Alabama,0.7135239996666667,7944.071428571428,0.2935718,0.003162097,0.18093108,0.3750352,0.55520493,0.021097166
1085,Asian,Alabama,0.9785484314,0.42857142857142855,,,,,,
1085,Black,Alabama,0.9785484314,2644.714285714286,0.14116719,2.75e-06,0.020976054,0.19250041,0.24040602,-0.001031743
1085,Hispanic,Alabama,0.9785484314,0.42857142857142855,,,,,,
1085,Native American,Alabama,0.9785484314,4.166666666666667,,,,,,
1085,White,Alabama,0.9785484314,20.642857142857142,0.40071672,0.006995178,0.18727428,0.30785441,0.53052837,
1087,Asian,Alabama,0.9390510542333333,5.142857142857143,,,,,,
1087,Black,Alabama,0.9390510542333333,3698.9285714285716,0.21187466,0.000437237,0.041223742,0.19160868,0.29341179,0.031150738
1087,Hispanic,Alabama,0.9390510542333333,1.4285714285714286,,0.00084347,0.21837293,0.16436909,0.2817651,
1087,Native American,Alabama,0.9390510542333333,1.0833333333333333,,,,,,
1087,White,Alabama,0.9390510542333333,210.92857142857142,0.13853088,0.000134186,0.14106932,0.27205187,0.4541536,
1089,Asian,Alabama,0.6534735483333333,813.7857142857143,0.59900165,0.064201921,0.45153248,0.6286732,0.639642,0.000156687
1089,Black,Alabama,0.6534735483333333,10307.857142857143,0.25991082,0.001388199,0.071500607,0.32449839,0.41427827,0.02266714
1089,Hispanic,Alabama,0.6534735483333333,420.64285714285717,0.40302205,0.01214875,0.18565105,0.54238749,0.56299931,0.040923994
1089,Native American,Alabama,0.6534735483333333,740.1666666666666,0.38836426,-0.000300251,0.20011529,0.43989518,0.58012015,-0.003534401
1089,White,Alabama,0.6534735483333333,24717.285714285714,0.43831289,0.008880979,0.22228049,0.51352,0.62567222,0.009611891
1091,Asian,Alabama,0.7177502052,3.0714285714285716,,,,,,
1091,Black,Alabama,0.7177502052,3184.3571428571427,0.18934171,0.002270692,0.048695691,0.24927731,0.27328691,0.028760616
1091,Hispanic,Alabama,0.7177502052,4.714285714285714,,,,,,
1091,Native American,Alabama,0.7177502052,0.5833333333333334,,,,,,
1091,White,Alabama,0.7177502052,1381.7857142857142,0.51454389,0.008723257,0.26045761,0.4113943,0.60925865,0.03115043
1093,Asian,Alabama,0.9292350918666668,7.714285714285714,,,,,,
1093,Black,Alabama,0.9292350918666668,191.21428571428572,,-0.00290775,0.093297973,0.32995969,0.39268994,
1093,Hispanic,Alabama,0.9292350918666668,14.5,,-0.005226703,0.097610772,0.1004194,0.30497971,
1093,Native American,Alabama,0.9292350918666668,3.1666666666666665,,,,,,
1093,White,Alabama,0.9292350918666668,4792.857142857143,0.26318246,0.007074349,0.15562892,0.25591314,0.44291911,0.010040907
1095,Asian,Alabama,0.9312757801,32.0,,-0.000597721,0.38650161,0.55327636,0.48062402,
1095,Black,Alabama,0.9312757801,236.85714285714286,,0.001208814,0.027943363,0.10248953,0.29656172,
1095,Hispanic,Alabama,0.9312757801,261.2142857142857,0.043762356,2.86328e-05,0.075111017,0.20789219,0.31873319,
1095,Native American,Alabama,0.9312757801,5.666666666666667,,0.001608517,0.099030152,0.18591857,0.39021283,
1095,White,Alabama,0.9312757801,12433.714285714286,0.30466256,0.004813855,0.15810582,0.22640824,0.47231185,0.00703912
1097,Asian,Alabama,0.7173721071333333,801.9285714285714,0.45428243,0.019904593,0.2504707,0.49611607,0.35244077,0.0040907
1097,Black,Alabama,0.7173721071333333,29367.14285714286,0.19807234,0.000749605,0.042431075,0.19846314,0.29339281,0.024246192
1097,Hispanic,Alabama,0.7173721071333333,164.42857142857142,0.25608093,0.005943592,0.16689341,0.37104008,0.44961026,5.05224e-05
1097,Native American,Alabama,0.7173721071333333,206.66666666666666,0.17446515,-0.000379059,0.10963352,0.26231703,0.38337475,
1097,White,Alabama,0.7173721071333333,30727.785714285714,0.35935551,0.009163339,0.2272753,0.41936293,0.55832648,0.012624878
1099,Asian,Alabama,0.6820178559,12.0,,,,,,
1099,Black,Alabama,0.6820178559,2560.214285714286,0.18856417,0.000167418,0.037436716,0.15906259,0.29344523,0.03884133
1099,Hispanic,Alabama,0.6820178559,8.071428571428571,,,,,,
1099,Native American,Alabama,0.6820178559,16.25,,,,,,
1099,White,Alabama,0.6820178559,2133.285714285714,0.2975615,0.009017346,0.21947484,0.30095315,0.60711575,-0.000388997
1101,Asian,Alabama,0.6627518081666667,295.57142857142856,0.61758512,0.054944228,0.29578549,0.60149962,0.52564794,0.00594217
1101,Black,Alabama,0.6627518081666667,21383.64285714286,0.18977797,0.000496678,0.039066762,0.28064767,0.31336373,0.028458489
1101,Hispanic,Alabama,0.6627518081666667,159.92857142857142,0.25428885,0.005332212,0.12971824,0.43049979,0.4911671,-0.001268259
1101,Native American,Alabama,0.6627518081666667,28.0,,-0.000853695,0.037312884,0.32213485,0.43392262,
1101,White,Alabama,0.6627518081666667,10800.5,0.49139974,0.017417166,0.27135587,0.54589891,0.64409643,0.00585505
1103,Asian,Alabama,0.7637629764333334,85.71428571428571,,0.028737465,0.44793785,0.67558283,0.69691342,
1103,Black,Alabama,0.7637629764333334,2595.214285714286,0.1408107,-0.000179651,0.028380232,0.2282605,0.37670404,0.016846323
1103,Hispanic,Alabama,0.7637629764333334,217.14285714285714,0.26906911,0.012285545,0.089040942,0.32072851,0.42878616,
1103,Native American,Alabama,0.7637629764333334,37.25,,0.000831521,0.073580816,0.35906199,0.50896311,
1103,White,Alabama,0.7637629764333334,14721.142857142857,0.35152984,0.006888524,0.20561776,0.41401273,0.58613908,0.007806551
1105,Asian,Alabama,0.9344848459,0.07142857142857142,,,,,,
1105,Black,Alabama,0.9344848459,2218.9285714285716,0.23484693,9.48661e-05,0.028692072,0.15292165,0.22075865,0.030655438
1105,Hispanic,Alabama,0.9344848459,0.7857142857142857,,,,,,
1105,Native American,Alabama,0.9344848459,0.0,,,,,,
1105,White,Alabama,0.9344848459,58.285714285714285,0.46541026,0.000942489,0.14869548,0.25268766,0.46472055,0.006856393
1107,Asian,Alabama,0.6944654756,3.7857142857142856,,,,,,
